stock_code,isin_code,company_name
1301,JP3257200000,株式会社極洋
1332,JP3718800000,株式会社ニッスイ
1333,JP3876600002,マルハニチロ株式会社
1375,JP3947010009,株式会社雪国まいたけ
1376,JP3216200000,カネコ種苗株式会社
1377,JP3315000004,株式会社サカタのタネ
1379,JP3843250006,ホクト株式会社
1380,JP3107400008,株式会社秋川牧園
1381,JP3108030002,株式会社アクシーズ
1382,JP3837630007,株式会社ホーブ
1383,JP3835730007,ベルグアース株式会社
1384,JP3845670003,株式会社ホクリヨウ
1400,JP3124750005,ルーデン・ホールディングス株式会社
1401,JP3167660004,株式会社エムビーエス
1407,JP3154750008,株式会社ウエストホールディングス
1414,JP3360250009,ショーボンドホールディングス株式会社
1417,JP3910620008,株式会社ミライト・ワン
1418,JP3152860007,インターライフホールディングス株式会社
1419,JP3470900006,タマホーム株式会社
1420,JP3337550002,サンヨーホームズ株式会社
1429,JP3686140009,株式会社日本アクア
1430,JP3802210009,ファーストコーポレーション株式会社
1431,JP3162680007,株式会社Ｌｉｂ　Ｗｏｒｋ
1432,JP3397900006,株式会社動力
1433,JP3835550009,ベステラ株式会社
1434,JP3386570000,ＪＥＳＣＯホールディングス株式会社
1435,JP3153950005,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ
1436,JP3802980007,株式会社フィット
1438,JP3264850003,株式会社岐阜造園
1439,JP3931750008,株式会社安江工務店
1440,JP3937000002,株式会社やまぜんホームズ
1443,JP3264300009,技研ホールディングス株式会社
1444,JP3679840003,株式会社ニッソウ
1445,JP3783430006,株式会社ひかりホールディングス
1446,JP3244530006,株式会社キャンディル
1447,JP3104860006,ＩＴｂｏｏｋホールディングス株式会社
1449,JP3814700005,株式会社ＦＵＪＩジャパン
1450,JP3468860006,田中建設工業株式会社
1451,JP3277630004,株式会社ＫＨＣ
1452,JP3956650000,横浜ライト工業株式会社
1491,JP3519000008,中外鉱業株式会社
1514,JP3400750000,住石ホールディングス株式会社
1515,JP3680800004,日鉄鉱業株式会社
1518,JP3894000003,三井松島ホールディングス株式会社
1605,JP3294460005,株式会社ＩＮＰＥＸ
1662,JP3421100003,石油資源開発株式会社
1663,JP3277020008,Ｋ＆Ｏエナジーグループ株式会社
1711,JP3363000005,株式会社ＳＤＳホールディングス
1712,JP3485700003,株式会社ダイセキ環境ソリューション
1716,JP3473700007,第一カッター興業株式会社
1717,JP3920400003,明豊ファシリティワークス株式会社
1718,JP3882700002,美樹工業株式会社
1719,JP3767810009,株式会社安藤・間
1720,JP3567410000,東急建設株式会社
1721,JP3305530002,コムシスホールディングス株式会社
1723,JP3734350006,日本電技株式会社
1724,JP3372200000,シンクレイヤ株式会社
1726,JP3799610005,株式会社ビーアールホールディングス
1730,JP3119990004,麻生フオームクリート株式会社
1734,JP3237500008,株式会社北弘電社
1736,JP3172410007,株式会社オーテック
1738,JP3681170001,株式会社ＮＩＴＴＯＨ
1739,JP3347010005,株式会社メルディアＤＣ
1743,JP3283450009,コーアツ工業株式会社
1757,JP3236100008,中小企業ホールディングス株式会社
1758,JP3450200005,太洋基礎工業株式会社
1762,JP3457900003,株式会社髙松コンストラクショングループ
1764,JP3266150006,工藤建設株式会社
1766,JP3590900001,東建コーポレーション株式会社
1768,JP3435700004,株式会社ソネック
1770,JP3816750008,藤田エンジニアリング株式会社
1771,JP3695100002,日本乾溜工業株式会社
1775,JP3820550006,富士古河Ｅ＆Ｃ株式会社
1776,JP3892200001,三井住建道路株式会社
1777,JP3224800007,川崎設備工業株式会社
1780,JP3934300009,株式会社ヤマウラ
1783,JP3653550008,株式会社アジアゲートホールディングス
1786,JP3197950003,オリエンタル白石株式会社
1787,JP3644600003,株式会社ナカボーテック
1788,JP3336500008,株式会社三東工業社
1789,JP3934500004,株式会社ＥＴＳホールディングス
1793,JP3190500003,株式会社大本組
1795,JP3863100008,株式会社マサル
1798,JP3927400006,株式会社守谷商会
1799,JP3474610007,第一建設工業株式会社
1801,JP3443600006,大成建設株式会社
1802,JP3190000004,株式会社大林組
1803,JP3358800005,清水建設株式会社
1805,JP3629800008,飛島建設株式会社
1807,JP3993800006,株式会社佐藤渡辺
1808,JP3768600003,株式会社長谷工コーポレーション
1810,JP3863600007,松井建設株式会社
1811,JP3427800002,株式会社錢高組
1812,JP3210200006,鹿島建設株式会社
1813,JP3825600004,株式会社不動テトラ
1814,JP3485400000,大末建設株式会社
1815,JP3545600003,鉄建建設株式会社
1820,JP3659200004,西松建設株式会社
1821,JP3889200006,三井住友建設株式会社
1822,JP3498600000,大豊建設株式会社
1826,JP3319600007,佐田建設株式会社
1827,JP3643600004,株式会社ナカノフドー建設
1828,JP3468900000,田辺工業株式会社
1832,JP3846800005,北海電気工事株式会社
1833,JP3194800003,株式会社奥村組
1835,JP3595400007,東鉄工業株式会社
1840,JP3533300004,株式会社土屋ホールディングス
1841,JP3337200004,サンユー建設株式会社
1844,JP3190600001,株式会社大盛工業
1847,JP3141400006,株式会社イチケン
1848,JP3820650004,株式会社富士ピー・エス
1850,JP3652600002,南海辰村建設株式会社
1852,JP3110000001,株式会社淺沼組
1853,JP3923600005,株式会社森組
1860,JP3627000007,戸田建設株式会社
1861,JP3266800006,株式会社熊谷組
1866,JP3240000004,北野建設株式会社
1867,JP3154400000,株式会社植木組
1869,JP3915800001,名工建設株式会社
1870,JP3933200002,矢作建設工業株式会社
1871,JP3801400007,株式会社ピーエス三菱
1873,JP3783500006,株式会社日本ハウスホールディングス
1878,JP3486800000,大東建託株式会社
1879,JP3380300008,新日本建設株式会社
1882,JP3558000000,東亜道路工業株式会社
1884,JP3740200005,日本道路株式会社
1885,JP3556000002,東亜建設工業株式会社
1887,JP3707200006,日本国土開発株式会社
1888,JP3990800009,若築建設株式会社
1890,JP3609800002,東洋建設株式会社
1892,JP3625800002,徳倉建設株式会社
1893,JP3309000002,五洋建設株式会社
1897,JP3216600001,金下建設株式会社
1898,JP3414600001,世紀東急工業株式会社
1899,JP3805600008,株式会社福田組
1904,JP3443000009,大成温調株式会社
1905,JP3545800009,株式会社テノックス
1909,JP3740800002,日本ドライケミカル株式会社
1911,JP3409800004,住友林業株式会社
1914,JP3697400004,日本基礎技術株式会社
1921,JP3631400003,株式会社巴コーポレーション
1925,JP3505000004,大和ハウス工業株式会社
1926,JP3965800000,ライト工業株式会社
1928,JP3420600003,積水ハウス株式会社
1929,JP3684800000,日特建設株式会社
1930,JP3845000003,北陸電気工事株式会社
1934,JP3946200007,株式会社ユアテック
1938,JP3510600004,日本リーテック株式会社
1939,JP3962600007,株式会社四電工
1941,JP3524000001,株式会社中電工
1942,JP3230600003,株式会社関電工
1944,JP3263000006,株式会社きんでん
1945,JP3585400009,株式会社東京エネシス
1946,JP3552230009,株式会社トーエネック
1948,JP3288600004,株式会社弘電社
1949,JP3407800006,住友電設株式会社
1950,JP3736200001,日本電設工業株式会社
1951,JP3254200003,エクシオグループ株式会社
1952,JP3380250005,新日本空調株式会社
1954,JP3703200000,日本工営株式会社
1959,JP3247050002,株式会社九電工
1960,JP3335400002,株式会社サンテック
1961,JP3325600009,三機工業株式会社
1963,JP3667600005,日揮ホールディングス株式会社
1964,JP3519800001,中外炉工業株式会社
1965,JP3545040002,株式会社テクノ菱和
1966,JP3457600009,株式会社高田工業所
1967,JP3940800000,株式会社ヤマト
1968,JP3447200001,太平電業株式会社
1969,JP3455200000,高砂熱学工業株式会社
1971,JP3518200005,中央ビルト工業株式会社
1972,JP3330800008,三晃金属工業株式会社
1973,JP3733800001,ＮＥＣネッツエスアイ株式会社
1975,JP3112800002,株式会社朝日工業社
1976,JP3918200001,明星工業株式会社
1979,JP3441200007,株式会社大氣社
1980,JP3486000007,ダイダン株式会社
1981,JP3254800000,株式会社協和日成
1982,JP3793400007,日比谷総合設備株式会社
1992,JP3230000006,神田通信機株式会社
1994,JP3457800005,高橋カーテンウォール工業株式会社
1997,JP3131000006,暁飯島工業株式会社
1999,JP3310600006,サイタホールディングス株式会社
2001,JP3723000000,株式会社ニップン
2002,JP3676800000,株式会社日清製粉グループ本社
2003,JP3683200004,日東富士製粉株式会社
2004,JP3366400004,昭和産業株式会社
2009,JP3636200002,鳥越製粉株式会社
2053,JP3525400002,中部飼料株式会社
2055,JP3666400001,日和産業株式会社
2058,JP3783700002,株式会社ヒガシマル
2060,JP3802960009,フィード・ワン株式会社
2107,JP3614600009,東洋精糖株式会社
2108,JP3732600006,日本甜菜製糖株式会社
2109,JP3890400009,ＤＭ三井製糖ホールディングス株式会社
2112,JP3168800005,塩水港精糖株式会社
2114,JP3722200007,フジ日本精糖株式会社
2117,JP3676600004,ウェルネオシュガー株式会社
2120,JP3758140002,株式会社ＬＩＦＵＬＬ
2121,JP3882750007,株式会社ＭＩＸＩ
2122,JP3152830000,株式会社インタースペース
2124,JP3386130003,株式会社ジェイエイシーリクルートメント
2127,JP3689050007,株式会社日本Ｍ＆Ａセンターホールディングス
2130,JP3921700005,株式会社メンバーズ
2134,JP3325800005,燦キャピタルマネージメント株式会社
2136,JP3791970001,株式会社ヒップ
2137,JP3783440005,株式会社光ハイツ・ヴェラス
2138,JP3155270006,クルーズ株式会社
2139,JP3520800008,株式会社中広
2146,JP3949500007,ＵＴグループ株式会社
2148,JP3104880004,アイティメディア株式会社
2150,JP3277550004,株式会社ケアネット
2152,JP3953750001,幼児活動研究会株式会社
2153,JP3130480001,Ｅ・Ｊホールディングス株式会社
2154,JP3635580008,株式会社オープンアップグループ
2156,JP3413200001,セーラー広告株式会社
2157,JP3297360004,株式会社コシダカホールディングス
2158,JP3944630007,株式会社ＦＲＯＮＴＥＯ
2160,JP3386370005,株式会社ジーエヌアイグループ
2162,JP3750800009,ｎｍｓ　ホールディングス株式会社
2163,JP3126230006,株式会社アルトナー
2164,JP3507500001,株式会社地域新聞社
2168,JP3781490002,株式会社パソナグループ
2169,JP3347040002,ＣＤＳ株式会社
2170,JP3977020001,株式会社リンクアンドモチベーション
2172,JP3152630004,株式会社インサイト
2173,JP3766300002,株式会社博展
2175,JP3162350007,株式会社エス・エム・エス
2179,JP3414400006,株式会社成学社
2180,JP3322500004,株式会社サニーサイドアップグループ
2181,JP3547670004,パーソルホールディングス株式会社
2183,JP3974530002,株式会社リニカル
2185,JP3347170007,株式会社シイエム・シイ
2186,JP3431520000,ソーバル株式会社
2193,JP3266170004,クックパッド株式会社
2195,JP3124440003,アミタホールディングス株式会社
2196,JP3162620003,株式会社エスクリ
2198,JP3101120008,アイ・ケイ・ケイホールディングス株式会社
2201,JP3926400007,森永製菓株式会社
2204,JP3646000004,株式会社中村屋
2206,JP3161200005,江崎グリコ株式会社
2207,JP3920200007,名糖産業株式会社
2208,JP3831400001,株式会社ブルボン
2209,JP3149200002,井村屋グループ株式会社
2211,JP3821200007,株式会社不二家
2212,JP3935600001,山崎製パン株式会社
2215,JP3479400008,第一屋製パン株式会社
2216,JP3233400005,カンロ株式会社
2217,JP3927600001,モロゾフ株式会社
2218,JP3664800004,日糧製パン株式会社
2220,JP3219800004,亀田製菓株式会社
2221,JP3152200006,岩塚製菓株式会社
2222,JP3299600001,寿スピリッツ株式会社
2224,JP3305700001,株式会社コモ
2226,JP3829100001,株式会社湖池屋
2229,JP3220580009,カルビー株式会社
2264,JP3926800008,森永乳業株式会社
2266,JP3984800007,六甲バター株式会社
2267,JP3931600005,株式会社ヤクルト本社
2268,JP3799600006,Ｂ－Ｒ　サーティワン　アイスクリーム株式会社
2269,JP3918000005,明治ホールディングス株式会社
2270,JP3947800003,雪印メグミルク株式会社
2281,JP3833200003,プリマハム株式会社
2282,JP3743000006,日本ハム株式会社
2286,JP3772200006,林兼産業株式会社
2288,JP3876400007,丸大食品株式会社
2291,JP3806600007,福留ハム株式会社
2292,JP3399300007,Ｓ　Ｆｏｏｄｓ株式会社
2293,JP3462000005,滝沢ハム株式会社
2294,JP3206500005,株式会社柿安本店
2296,JP3144500000,伊藤ハム米久ホールディングス株式会社
2300,JP3256850003,株式会社きょくとう
2301,JP3234400004,株式会社学情
2303,JP3637600002,株式会社ドーン
2304,JP3425500000,株式会社ＣＳＳホールディングス
2305,JP3399240005,株式会社スタジオアリス
2307,JP3272600002,株式会社クロスキャット
2309,JP3359000001,シミックホールディングス株式会社
2311,JP3167250004,株式会社エプコ
2315,JP3333400004,株式会社ＣＡＩＣＡ　ＤＩＧＩＴＡＬ
2317,JP3351050004,株式会社システナ
2321,JP3436190007,株式会社ソフトフロントホールディングス
2323,JP3758080000,株式会社ｆｏｎｆｕｎ
2325,JP3718600004,株式会社ＮＪＳ
2326,JP3549020000,デジタルアーツ株式会社
2327,JP3379900008,日鉄ソリューションズ株式会社
2329,JP3604400006,株式会社東北新社
2330,JP3802810006,株式会社フォーサイド
2331,JP3431900004,綜合警備保障株式会社
2332,JP3266130008,株式会社クエスト
2334,JP3131380002,株式会社イオレ
2335,JP3244950006,株式会社キューブシステム
2337,JP3120010008,いちご株式会社
2338,JP3345580009,クオンタムソリューションズ株式会社
2340,JP3387850005,株式会社極楽湯ホールディングス
2341,JP3126180003,株式会社アルバイトタイムス
2342,JP3635720000,株式会社トランスジェニック
2344,JP3834050001,平安レイサービス株式会社
2345,JP3351020007,株式会社クシム
2349,JP3164610002,株式会社エヌアイデイ
2351,JP3122420007,株式会社ＡＳＪ
2353,JP3728000005,日本駐車場開発株式会社
2354,JP3931800001,株式会社ＹＥ　ＤＩＧＩＴＡＬ
2359,JP3284000001,株式会社コア
2370,JP3920990003,株式会社メディネット
2371,JP3206000006,株式会社カカクコム
2372,JP3105170009,株式会社アイロムグループ
2373,JP3277500009,株式会社ケア２１
2374,JP3424980005,セントケア・ホールディング株式会社
2375,JP3410750008,ギグワークス株式会社
2376,JP3311350007,株式会社サイネックス
2378,JP3978800005,株式会社ルネサンス
2379,JP3548640006,ディップ株式会社
2384,JP3163500006,ＳＢＳホールディングス株式会社
2385,JP3431850001,株式会社総医研ホールディングス
2388,JP3831450006,株式会社ウェッジホールディングス
2389,JP3197730009,株式会社デジタルホールディングス
2391,JP3833120003,株式会社プラネット
2393,JP3699800003,株式会社日本ケアサプライ
2395,JP3379950003,株式会社新日本科学
2397,JP3548590003,株式会社ＤＮＡチップ研究所
2402,JP3124200001,株式会社アマナ
2404,JP3545620001,株式会社鉄人化計画
2408,JP3277130005,株式会社ＫＧ情報
2410,JP3244450007,株式会社キャリアデザインセンター
2411,JP3282850001,ゲンダイエージェンシー株式会社
2412,JP3835630009,株式会社ベネフィット・ワン
2413,JP3435750009,エムスリー株式会社
2415,JP3794520001,ヒューマンホールディングス株式会社
2418,JP3835670005,株式会社ツカダ・グローバルホールディング
2424,JP3830600007,株式会社ブラス
2425,JP3277450007,株式会社ケアサービス
2427,JP3105270007,株式会社アウトソーシング
2428,JP3155370004,ウェルネット株式会社
2429,JP3990220000,株式会社ワールドホールディングス
2432,JP3548610009,株式会社ディー・エヌ・エー
2433,JP3766550002,株式会社博報堂ＤＹホールディングス
2435,JP3351630003,株式会社シダー
2436,JP3253500007,共同ピーアール株式会社
2437,JP3384900001,Ｓｈｉｎｗａ　Ｗｉｓｅ　Ｈｏｌｄｉｎｇｓ株式会社
2438,JP3119670002,株式会社アスカネット
2440,JP3274180003,株式会社ぐるなび
2445,JP3161560002,株式会社タカミヤ
2449,JP3833050002,株式会社プラップジャパン
2452,JP3306450002,コンピュータマインド株式会社
2453,JP3389670005,ジャパンベストレスキューシステム株式会社
2454,JP3174050009,株式会社オールアバウト
2459,JP3105310001,アウンコンサルティング株式会社
2461,JP3802840003,株式会社ファンコミュニケーションズ
2462,JP3386120004,ライク株式会社
2464,JP3800290003,株式会社ビジネス・ブレークスルー
2467,JP3778370001,株式会社バルクホールディングス
2468,JP3826260006,株式会社フュートレック
2469,JP3793200001,ヒビノ株式会社
2471,JP3163900008,株式会社エスプール
2475,JP3505940001,ＷＤＢホールディングス株式会社
2477,JP3783300001,手間いらず株式会社
2479,JP3386260008,株式会社ジェイテック
2480,JP3351080001,システム・ロケーション株式会社
2481,JP3452300001,株式会社タウンニュース社
2483,JP3854900002,株式会社翻訳センター
2484,JP3952870008,株式会社出前館
2485,JP3539150007,株式会社ティア
2487,JP3347020004,株式会社ＣＤＧ
2488,JP3710700000,ＪＴＰ株式会社
2489,JP3121970002,株式会社アドウェイズ
2491,JP3778390009,バリューコマース株式会社
2492,JP3153480003,株式会社インフォマート
2493,JP3130420007,イーサポートリンク株式会社
2497,JP3758130003,ユナイテッド株式会社
2498,JP3121120004,株式会社オリエンタルコンサルタンツホールディングス
2499,JP3756080002,日本和装ホールディングス株式会社
2501,JP3320800000,サッポロホールディングス株式会社
2502,JP3116000005,アサヒグループホールディングス株式会社
2503,JP3258000003,キリンホールディングス株式会社
2531,JP3459600007,宝ホールディングス株式会社
2533,JP3307400006,オエノンホールディングス株式会社
2540,JP3953800004,養命酒製造株式会社
2551,JP3874600004,マルサンアイ株式会社
2573,JP3847800004,北海道コカ・コーラボトリング株式会社
2579,JP3293200006,コカ・コーラ　ボトラーズジャパンホールディングス株式会社
2585,JP3966680005,株式会社ライフドリンク　カンパニー
2586,JP3828300008,株式会社フルッタフルッタ
2587,JP3336560002,サントリー食品インターナショナル株式会社
2588,JP3155450004,株式会社プレミアムウォーターホールディングス
2590,JP3488400007,ダイドーグループホールディングス株式会社
2593,JP3143000002,株式会社伊藤園
2594,JP3236300004,キーコーヒー株式会社
2597,JP3950820005,株式会社ユニカフェ
2599,JP3389650007,ジャパンフーズ株式会社
2602,JP3677200002,日清オイリオグループ株式会社
2607,JP3816400000,不二製油グループ本社株式会社
2612,JP3214400008,かどや製油株式会社
2613,JP3840000008,株式会社Ｊ－オイルミルズ
2651,JP3982100004,株式会社ローソン
2652,JP3879700007,株式会社まんだらけ
2653,JP3245400001,イオン九州株式会社
2654,JP3384720003,株式会社アスモ
2656,JP3835400007,株式会社ベクター
2659,JP3324500002,株式会社サンエー
2664,JP3226450009,株式会社カワチ薬品
2666,JP3172430005,株式会社オートウェーブ
2667,JP3149400008,株式会社イメージ　ワン
2668,JP3506100001,タビオ株式会社
2669,JP3217900004,カネ美食品株式会社
2670,JP3152740001,株式会社エービーシー・マート
2673,JP3952900003,夢みつけ隊株式会社
2674,JP3765120005,株式会社ハードオフコーポレーション
2676,JP3457710006,高千穂交易株式会社
2678,JP3119920001,アスクル株式会社
2681,JP3282400005,株式会社ゲオホールディングス
2683,JP3155500006,株式会社魚喜
2685,JP3856000009,株式会社アダストリア
2686,JP3536900008,株式会社ジーフット
2687,JP3346250008,株式会社シー・ヴイ・エス・ベイエリア
2689,JP3226700007,オルバヘルスケアホールディングス株式会社
2692,JP3143700007,伊藤忠食品株式会社
2693,JP3990750006,ＹＫＴ株式会社
2694,JP3834150009,株式会社焼肉坂井ホールディングス
2695,JP3268200007,くら寿司株式会社
2698,JP3244550004,株式会社キャンドゥ
2700,JP3240900005,木徳神糧株式会社
2702,JP3750500005,日本マクドナルドホールディングス株式会社
2705,JP3188300002,株式会社大戸屋ホールディングス
2706,JP3831500008,株式会社ブロッコリー
2708,JP3266120009,株式会社久世
2715,JP3457690000,エレマテック株式会社
2721,JP3386180008,株式会社ジェイホールディングス
2722,JP3101100000,株式会社ＩＫホールディングス
2726,JP3781650001,株式会社パルグループホールディングス
2730,JP3164470001,株式会社エディオン
2733,JP3125100002,株式会社あらた
2734,JP3310350008,株式会社サーラコーポレーション
2735,JP3993950009,株式会社ワッツ
2736,JP3319700005,フェスタリアホールディングス株式会社
2737,JP3553900006,株式会社トーメンデバイス
2742,JP3773750009,株式会社ハローズ
2743,JP3765210004,ピクセルカンパニーズ株式会社
2747,JP3843370002,北雄ラッキー株式会社
2749,JP3386190007,株式会社ＪＰホールディングス
2750,JP3136950007,石光商事株式会社
2751,JP3547700009,株式会社テンポスホールディングス
2752,JP3807770007,株式会社フジオフードグループ本社
2753,JP3124450002,株式会社あみやき亭
2754,JP3854630005,株式会社東葛ホールディングス
2760,JP3571600000,東京エレクトロン　デバイス株式会社
2762,JP3332520000,株式会社ＳＡＮＫＯ　ＭＡＲＫＥＴＩＮＧ　ＦＯＯＤＳ
2763,JP3166940001,株式会社エフティグループ
2764,JP3796000002,株式会社ひらまつ
2767,JP3802680003,円谷フィールズホールディングス株式会社
2768,JP3663900003,双日株式会社
2769,JP3159960008,株式会社ヴィレッジヴァンガードコーポレーション
2776,JP3270600004,新都ホールディングス株式会社
2777,JP3212300002,株式会社カッシーナ・イクスシー
2778,JP3782800001,パレモ・ホールディングス株式会社
2780,JP3305590006,株式会社コメ兵ホールディングス
2782,JP3423520000,株式会社セリア
2784,JP3126340003,アルフレッサ　ホールディングス株式会社
2788,JP3121170009,アップルインターナショナル株式会社
2789,JP3220800001,株式会社カルラ
2790,JP3651160008,株式会社ナフコ
2791,JP3483050005,大黒天物産株式会社
2792,JP3770080004,株式会社ハニーズホールディングス
2795,JP3749250001,日本プリメックス株式会社
2796,JP3802320006,ファーマライズホールディングス株式会社
2798,JP3990760005,株式会社ワイズテーブルコーポレーション
2801,JP3240400006,キッコーマン株式会社
2802,JP3119600009,味の素株式会社
2804,JP3831200005,ブルドックソース株式会社
2805,JP3163600004,ヱスビー食品株式会社
2806,JP3949200004,ユタカフーズ株式会社
2809,JP3244800003,キユーピー株式会社
2810,JP3765400001,ハウス食品グループ本社株式会社
2811,JP3208200000,カゴメ株式会社
