stock_code,isin_code,company_name,industry,company_description
1301,JP3257200000,株式会社極洋,水産・農林業,水産物貿易・加工・買い付けが主力。外食店向け強み。加工は海外比率大。
1332,JP3718800000,株式会社ニッスイ,水産・農林業,水産老舗。家庭用冷凍食品大手。海外で養殖事業、高純度EPA化成品も。
1333,JP3876600002,マルハニチロ株式会社,水産・農林業,水産最大手。漁業、養殖や国内流通網に強み。冷凍、加工や化成品なども。
1375,JP3947010009,株式会社雪国まいたけ,水産・農林業,まいたけ、エリンギなどきのこ生産・加工食品販売。健康食品も。神明グループ。
1376,JP3216200000,カネコ種苗株式会社,水産・農林業,野菜・花きなどの種苗を生産販売。農薬も収益柱。園芸用品なども展開。
1377,JP3315000004,株式会社サカタのタネ,水産・農林業,種苗大手。野菜・花種子で収益力。自社開発品多数。ブロッコリー世界トップ。
1379,JP3843250006,ホクト株式会社,水産・農林業,キノコ総合企業。ブナシメジ、マイタケ、エリンギなど主体。椎茸に進出。海外にも。
1380,JP3107400008,株式会社秋川牧園,水産・農林業,無農薬・無投薬の食肉、鶏卵、牛乳を製造販売。無農薬野菜など直販宅配。
1381,JP3108030002,株式会社アクシーズ,水産・農林業,鶏肉国内大手。KFCへの供給が主力。飼料から加工まで一貫。外食FCも。
1382,JP3837630007,株式会社ホーブ,水産・農林業,イチゴ苗の開発・販売。大手洋菓子メーカーなどにイチゴ果実を提供。種馬鈴薯も。
1383,JP3835730007,ベルグアース株式会社,水産・農林業,接木苗で国内首位。野菜苗を農協やHCで販売。花き、家庭園芸向けも注力。
1384,JP3845670003,株式会社ホクリヨウ,水産・農林業,北海道の鶏卵最大手。鶏卵の生産・販売のほか、畜肉販売を手掛ける。
1400,JP3124750005,ルーデン・ホールディングス株式会社,建設業,マンションの室内コーティングなどハウスケアが主力。ビル総合管理や不動産開発も。
1401,JP3167660004,株式会社エムビーエス,建設業,外壁リフォーム会社。特殊コーティング剤と独自研磨で修繕。総合建設部門を拡充。
1407,JP3154750008,株式会社ウエストホールディングス,建設業,太陽光発電設置、保守。再生可能エネ供給や省エネ提案。タイで日系企業へ供給。
1414,JP3360250009,ショーボンドホールディングス株式会社,建設業,コンクリート補修業で首位。橋梁、高速道路、トンネルなどで実績。補修材料の販売も。
1417,JP3910620008,株式会社ミライト・ワン,建設業,通信工事大手。NTT向け中心。ゼネコン西武建設を買収。社会インフラ、デジタル化も。
1418,JP3152860007,インターライフホールディングス株式会社,建設業,内装工事会社。音響・照明の公共施設工事に注力。通信インフラに人材派遣も。
1419,JP3470900006,タマホーム株式会社,建設業,注文住宅会社。低価格、積極営業。マンションやリフォーム事業、オフィス賃貸・サブリースも。
1420,JP3337550002,サンヨーホームズ株式会社,建設業,戸建て住宅、マンション開発。都市圏で販売。リニューアル、賃貸福祉住宅や保育園も。
1429,JP3686140009,株式会社日本アクア,建設業,ウレタン断熱材「アクアフォーム」の施工・販売。断熱材は工務店向け大。桧家グループ。
1430,JP3802210009,ファーストコーポレーション株式会社,建設業,都市部で中・小型のマンション建設。用地取得からの「造注方式」に実績。
1431,JP3162680007,株式会社Ｌｉｂ　Ｗｏｒｋ,建設業,ネットで注文住宅の企画・設計から販売、施工、管理を展開。展示場にも出店。
1432,JP3397900006,株式会社動力,ページが見つからないか、エラーが発生しました。,ページが見つからないか、エラーが発生しました。
1433,JP3835550009,ベステラ株式会社,建設業,プラント解体工事に特化。特許工法に強み。石油化学、製鉄、発電所等マネジメント。
1434,JP3386570000,ＪＥＳＣＯホールディングス株式会社,建設業,電気設備の設計・施工。国内のEPC事業が売上の7割。外国人の人材紹介も。
1435,JP3153950005,株式会社Ｒｏｂｏｔ　Ｈｏｍｅ,不動産業,IoT賃貸経営プラットホーム「Residencekit」を展開。投資用不動産売買マッチングも。
1436,JP3802980007,株式会社フィット,建設業,太陽光発電設備が標準の戸建販売。クリーンエネルギー発電・投資事業が主力に。
1438,JP3264850003,株式会社岐阜造園,建設業,造園緑化工事の設計・施工・メンテナンス。官民施設で全国展開。積水ハウスと密接。
1439,JP3931750008,株式会社安江工務店,建設業,愛知県を地盤に住宅リフォーム、AI活用のリノベや新築販売。仲介・買取再販も。
